column1;audios;date;domain;intent;lastModified;sentence;sentenceid;slots
90;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Sube esta canción, que me encanta;7e1c657a-a4c1-476a-841f-b8cdd69f4b6a;['action', ' level', ' type']
91;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Faime o favor de subir o volume un pouco;9fd624e3-02b9-4628-a5c2-2c771ea901d7;['action', ' level', ' type']
92;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Sube a voz un anaquiño;da6f47b9-3685-4107-a067-9e4fc5a10d12;['action', ' level', ' type']
93;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Dálle un trisco máis de voz;76bdd1a8-7725-4ae0-8784-ad3a4f4aa743;['action', ' level', ' type']
94;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Podes subir o volume outro anaco?;5e20dc7a-ef6f-49ec-a096-ea8d8e8bfc7e;['action', ' level', ' type']
95;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Sube o son ao máximo;0880ffa7-3a79-488e-94cf-46da589d6334;['action', ' level', ' type']
96;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Poderías subir a radio ao oitenta por cento?;9679ffdc-061f-4fdc-a0b5-6e94dcd3e140;['action', ' level', ' type']
97;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Baixa o volume, por favor;3f971a72-2ff8-4c8a-8cfd-2acba50951ad;['action', ' level', ' type']
98;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Baixar volume;21946030-1b56-4335-9e4a-36aea251d2cb;['action', ' level', ' type']
99;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Podes baixar o volume da radio?;c344911d-32cd-4707-91f6-311b5f88e85e;['action', ' level', ' type']
100;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Baixa o volume á metade;efec1871-c7af-4293-beb8-6e370b3fdf53;['action', ' level', ' type']
101;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Pon a música ao mínimo;1b1b687f-ead2-4234-9c0f-2274c653b776;['action', ' level', ' type']
102;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Baixa un anaco a música, por favor;ce6a3aa0-1646-479a-ac26-16ba1bf9db74;['action', ' level', ' type']
103;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Poderías quitarlle algo de voz ao podcast?;24433d81-9385-48c6-b5b4-68e495bd6d32;['action', ' level', ' type']
104;73;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Baixa un trisco o volume da música;2301d3fe-a898-4b1a-92c4-3e188722b8dc;['action', ' level', ' type']
105;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Reduce o volume un vinte por cento;8ee4e2d9-12e8-4116-9d6f-0a3052a03a10;['action', ' level', ' type']
106;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Podes baixar o volume cinco puntos?;700b1f1c-96fa-425a-b71d-8d88e252cbd5;['action', ' level', ' type']
107;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Baixa o volume da música, que está moi alto;79b57b48-cc19-4b60-a4c4-9c800c885826;['action', ' level', ' type']
108;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Baixa a música un anaquiño, que vou facer unha chamada;c6fad9dc-862a-4600-9352-001147fa6cef;['action', ' level', ' type']
109;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Poderías baixar o son da música?;6c42faf8-3d07-438a-a1cf-99f800b39a18;['action', ' level', ' type']
110;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Báixame un pouquiño a radio, por favor;b3502073-eeaf-4e7f-aca6-caa649ab6977;['action', ' level', ' type']
111;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Reduce o volume da música un trinta por cento;8e6bd672-d1a3-4eae-bde9-11ad94e3c104;['action', ' level', ' type']
112;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Podes baixarlle un pouco o volume ao reprodutor?;126caace-6b4c-4fdc-94e5-d1561094e1fd;['action', ' level', ' type']
113;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Podes baixar o volume da música ao cincuenta por cento?;4de970a6-aeaa-4171-b41d-a97554d189aa;['action', ' level', ' type']
114;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Pon o volume da música á metade;0b5f70a8-b14f-4afb-9fec-a809fb6ee996;['action', ' level', ' type']
115;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Por favor, baixa a radio un corenta por cento;875e3d69-9d9b-465d-9a3d-bceafb95b89f;['action', ' level', ' type']
116;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Reduce un dez por cento o volume, queres?;8f0f68e9-e865-43e4-a029-6e106212e7b9;['action', ' level', ' type']
117;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Para a música;711fb5ce-b670-4991-86d9-bc67ae9c5407;['action', ' level', ' type']
118;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Parar música;8cedc828-c952-42b0-859b-149eb708c2f2;['action', ' level', ' type']
119;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Quero que pares a reprodución;531b3285-5ca0-46cc-b3a7-b69c24106a7b;['action', ' level', ' type']
120;76;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Detén a reprodución do podcast;8e36a417-1ec0-4cda-9e71-bb00bad69d2a;['action', ' level', ' type']
121;73;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Detén a música;bac6ca99-0aa6-4208-837f-6da35b5b8b9d;['action', ' level', ' type']
122;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Podes parar un momento a canción?;3a50fc6b-4ef5-4a62-ab40-698d08cafb11;['action', ' level', ' type']
123;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Podes deter un segundo a música?;e422be86-7c99-4d3a-b799-87b7cce0155f;['action', ' level', ' type']
124;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Por favor, apaga a radio;624a87ec-8110-450c-88de-e861a1734193;['action', ' level', ' type']
125;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Apaga a música;91a8a1d4-290b-4112-9361-a5732f7a2e55;['action', ' level', ' type']
126;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Párame aí a música, que teño unha chamada;8332154e-f5bf-4fde-b464-df28e9c31fbd;['action', ' level', ' type']
127;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Para un segundo a radio;a8ca04b7-baad-45e9-ab3d-9dde49367df8;['action', ' level', ' type']
128;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Podes parar o podcast?;9eccbf8b-317e-4e72-9491-13762cc4c3c7;['action', ' level', ' type']
129;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Detén o capítulo do podcast, por favor;d56aee8a-9aba-4884-b0a3-d8c30e144a7b;['action', ' level', ' type']
130;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Quero que deteñas a música;e82929f1-406f-4da8-8fc0-9a743239a65d;['action', ' level', ' type']
131;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Podes parar a canción?;abf0fde3-0a15-4bb4-9bda-6bc167765de9;['action', ' level', ' type']
132;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Podes deter a reprodución?;180678fb-5746-4587-bc3a-14a9cde40c02;['action', ' level', ' type']
133;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Apágame a radio;a53d2a6d-c137-4607-ae77-1cdaea8b6b9e;['action', ' level', ' type']
134;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Podes apagar a música?;6c3ba9df-d803-454b-b168-2539e4db0bcb;['action', ' level', ' type']
135;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Para esta canción;d1ae098a-004f-40d6-9ff0-94608b2d9a53;['action', ' level', ' type']
136;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Detén a canción que está a soar;20da63ac-1d83-486d-8709-b060d1e6ec09;['action', ' level', ' type']
137;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Prosigue coa reprodución;89b27a7c-e7a0-4283-9745-6b4e6d7ae068;['action', ' level', ' type']
138;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Pon música;4b47e79d-f8be-4f15-bab8-130823d875ff;['action', ' level', ' type']
139;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Continúa coa reprodución;f2c2b069-143d-4d4c-8b06-5bb9985295ee;['action', ' level', ' type']
140;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Ponme algo de música;df93ecac-bba8-4d3e-940f-861d319f0802;['action', ' level', ' type']
141;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Acende a radio;9e00e60a-5482-4a74-a053-feea3a4cc86b;['action', ' level', ' type']
142;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Activa a música, por favor;dc59330a-eb78-4f26-8469-3fdb7027c02c;['action', ' level', ' type']
143;75;18/08/2022 7:52;house commands;music;22/08/2022 7:20;Podes pór algo de música?;8b8934e4-94cb-4a52-9175-2836fc0f9011;['action', ' level', ' type']
144;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Continúa reproducindo o capítulo que estaba soando;e8af6cac-a6e7-402e-a33d-bcfd2e848a2f;['action', ' level', ' type']
145;76;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Podes volver a acender a radio?;99a4f915-fd41-48c8-8fe7-26ea75593a6f;['action', ' level', ' type']
146;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Activa a radio;2261a4ca-e471-4f77-babd-33fc8fb7a54a;['action', ' level', ' type']
147;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Acende de novo a música;1633cfda-cb0b-4e0f-a10c-ac996c236c8d;['action', ' level', ' type']
148;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Ponme música rock, por favor;f4d2e6a1-b7f2-4c73-8407-cb54e8bb41c6;['action', ' level', ' type']
149;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Podes poñer algo de música pop?;72d2f275-cd75-4803-b5fc-a0e1ea95c0d5;['action', ' level', ' type']
150;76;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Quero que poñas a radio;d5dc02c7-a34e-4e30-afcc-b727883e5ff0;['action', ' level', ' type']
151;75;18/08/2022 7:52;house commands;music;23/08/2022 8:28;Volve pór música;43501b0f-e32b-46f0-8950-81dbeeff125c;['action', ' level', ' type']
152;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Por favor, sigue coa música;2a472b69-43b1-4b87-b2ed-340bf6d2ba4c;['action', ' level', ' type']
153;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Pon unha radio de música clásica;f28927db-836c-4e41-96f0-a4286498edff;['action', ' level', ' type']
154;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Reproduce as cancións máis escoitadas en Galicia;c8d304e2-9c70-4fb7-8b56-1036a4d905e7;['action', ' level', ' type']
155;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Acende a radio e pon radio galega;a31027fe-d042-47b6-9366-5b7439410fc2;['action', ' level', ' type']
156;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Sigue coa reprodución;3e61089e-a1dd-41f9-b851-16de7d4b28c4;['action', ' level', ' type']
157;75;18/08/2022 7:52;lists;add_to_list;18/08/2022 7:52;Engade: patacas, á lista da compra;fb7e8236-930e-48a2-8ebf-8bcc4a211ada;['list', ' element', ' date']
158;75;18/08/2022 7:52;lists;add_to_list;18/08/2022 7:52;Podes engadir pan á lista da compra?;7e38c6d0-5b4b-495c-b05b-287416f66cc9;['list', ' element', ' date']
159;75;18/08/2022 7:52;lists;add_to_list;18/08/2022 7:52;Quero que agregues garavanzos á lista da compra;38d79e68-a841-44ab-9eba-749e2a6afbea;['list', ' element', ' date']
160;75;18/08/2022 7:52;lists;add_to_list;23/08/2022 8:31;Anota que teño que mercar robalos e xoubas, por favor;72310de2-825f-4e1d-904c-c456e1d0ea23;['list', ' element', ' date']
161;74;18/08/2022 7:52;lists;add_to_list;18/08/2022 7:52;Quero que anotes na lista da compra cincocentos gramos de cogomelos;d2a40fb1-f344-4790-845b-083d7de70926;['list', ' element', ' date']
162;73;18/08/2022 7:53;lists;add_to_list;18/08/2022 7:53;Engade á lista da compra cen gramos de queixo;17a8e87d-4121-4984-b895-e9d87d13d92d;['list', ' element', ' date']
163;74;18/08/2022 7:53;lists;add_to_list;18/08/2022 7:53;Podes anotarme: cereais, na lista da compra?;a395fdea-8f5e-4689-9bab-2c22d22a19e3;['list', ' element', ' date']
164;74;18/08/2022 7:53;lists;add_to_list;18/08/2022 7:53;Quero que engadas na lista da compra cenorias e allo;d3cb388b-362e-4ca3-9552-47a8e34d7664;['list', ' element', ' date']
165;74;18/08/2022 7:53;lists;add_to_list;18/08/2022 7:53;Pon: mexillóns, na lista da compra;69b121ba-0540-4517-81c9-bd5cfe996366;['list', ' element', ' date']
