id;transcription;domain;intent;slots
59;Apaga as luces do dormitorio dos nenos;house commands;lights;action, location
60;Acende as luces do andadeiro;house commands;lights;action, location
61;Desactiva o modo cine;house commands;lights;action, location
62;Pon as luces en modo lectura;house commands;lights;action, mode
63;Activa o modo amencer;house commands;lights;action, mode
64;Activa as luces en modo amencer;house commands;lights;action, mode
65;Inicia o modo anoitecer nas luces;house commands;lights;action, mode
66;Activa o modo luscofusco nas luces do salón;house commands;lights;action, mode
67;Quero que desactives o modo amencer nas luces;house commands;lights;action, mode
68;Apaga tódalas luces acendidas;house commands;lights;action, location
69;Acende tódalas luces da casa;house commands;lights;action, location
70;Apaga as luces do corredoiro;house commands;lights;action, location
71;Sube a intensidade das luces no salón;house commands;lights;action, location
72;Sube a intensidade desta lámpada;house commands;lights;action, location
73;Dálle un toque cálido ás luces;house commands;lights;action, location
74;Podes baixar a intensidade das luces acendidas?;house commands;lights;action, location
75;Baixa a intensidade das luces;house commands;lights;action, location
76;Acende as luces cun ton cálido;house commands;lights;action, location
77;Podes darlle ás luces un ton máis frío?;house commands;lights;action, location
78;Sube ao máximo a intensidade destas luces;house commands;lights;action, location
79;Quero máis luminosidade;house commands;lights;action, location
80;Baixa a luminosidade;house commands;lights;action, location
81;Dálle máis brillo a esta lámpada;house commands;lights;action, location
82;Sube a intensidade das luces do dormitorio das nenas;house commands;lights;action, location
83;Baixa a intensidade da lámpada do dormitorio dous;house commands;lights;action, location
84;Aumenta a intensidade da luz;house commands;lights;action, location
85;Podes subir o brillo destas luces?;house commands;lights;action, location
86;Baixa o brillo da luz do despacho;house commands;lights;action, location
87;Pon un ton azulado na luz da habitación tres;house commands;lights;action, location
88;Quero un ton máis cálido nas luces do salón;house commands;lights;action, location
89;Podes cambiar o ton das luces?;house commands;lights;action, location
90;Baixa a intensidade das luces e dálle un ton máis amarelo;house commands;lights;action, location
91;Sube a luminosidade da lámpada de lectura;house commands;lights;action, location
92;Sube o brillo desta lámpada;house commands;lights;action, location
93;Quero cambiar o ton das luces;house commands;lights;action, location
94;Pon un ton vermello nas luces do despacho;house commands;lights;action, location
95;Pon un ton verde nas luces do salón;house commands;lights;action, location
96;Quero que baixes a intensidade das luces do piso;house commands;lights;action, location
97;Podes subir un anaco a intensidade da luz acendida?;house commands;lights;action, location
98;Sube un par de puntos a intensidade da luz do comedor;house commands;lights;action, location
99;Ponme un ton máis cálido na lámpada de lectura, queres?;house commands;lights;action, location
100;Activa o modo serie na sala da televisión;house commands;lights;action, location
101;Poderías acender o calefactor do baño?;house commands;heat;action, location
102;Quero que prendas a calefacción do salón;house commands;heat;action, location
103;Pon a calefacción;house commands;heat;action, location
104;Faime o favor de pór a calefacción a funcionar;house commands;heat;action, location
105;Acende os radiadores da casa;house commands;heat;action, location
106;Podes acender o radiador da habitación?;house commands;heat;action, location
107;Prende a calefacción na vivenda, por favor;house commands;heat;action, location
108;Quero que acendas o calefactor da cociña;house commands;heat;action, location
109;Podes acender tódolos radiadores?;house commands;heat;action, location
110;Activa o radiador do salón;house commands;heat;action, location
111;Prende a calefacción;house commands;heat;action, location
112;Acende a calefacción na casa;house commands;heat;action, location
113;Activa a calefacción, por favor;house commands;heat;action, location
114;Poderías acender os radiadores do baño?;house commands;heat;action, location
115;Activa os radiadores;house commands;heat;action, location
116;Acende os calefactores da casa;house commands;heat;action, location
117;Gustaríame que prenderas os calefactores;house commands;heat;action, location
118;Prende o radiador, que teño frío;house commands;heat;action, location
119;Podes acender a calefacción?;house commands;heat;action, location
120;Acender calefacción;house commands;heat;action, location
121;Acende, que vai frío;house commands;heat;action, location
122;Teño frío;house commands;heat;action, location
123;Fai frío na casa;house commands;heat;action, location
124;Sube algo a calefacción, que fai un frío que pela;house commands;heat;action, location
125;Dálle gas á calefacción;house commands;heat;action, location
126;Apaga a calefacción do comedor;house commands;heat;action, location
127;Apaga tódolos radiadores;house commands;heat;action, location
128;Apaga os calefactores da habitación;house commands;heat;action, location
129;Desactiva a calefacción, que xa fai calor;house commands;heat;action, location
130;Apaga os radiadores, que xa se está ben;house commands;heat;action, location
131;Quero que apagues a calefacción;house commands;heat;action, location
132;Podes apagar os radiadores do salón?;house commands;heat;action, location
133;Teño calor dabondo, podes quitar a calefacción?;house commands;heat;action, location
134;Apagar calefacción;house commands;heat;action, location
135;Desactivar radiadores;house commands;heat;action, location
136;Apaga os radiadores do salón;house commands;heat;action, location
137;Apaga tódolos calefactores;house commands;heat;action, location
138;Podes desactivar a calefacción?;house commands;heat;action, location
139;Quero que apagues a calefacción, que fai calor;house commands;heat;action, location
140;Apaga a calefacción da habitación;house commands;heat;action, location
141;Por favor, apaga o calefactor do baño;house commands;heat;action, location
142;Faime o favor de apagar a calefacción no salón;house commands;heat;action, location
143;Desactiva os radiadores no baño;house commands;heat;action, location
144;Quita a calefacción;house commands;heat;action, location
145;Desactivar calefacción;house commands;heat;action, location
146;Quítame a calefacción;house commands;heat;action, location
147;Apaga a calefacción;house commands;heat;action, location
148;Apaga os radiadores;house commands;heat;action, location
149;Apaga, que teño calor;house commands;heat;action, location
150;Apaga a calefacción, que fai calor dabondo;house commands;heat;action, location
151;Fai un frío que pela, amigo: pon a casa a vinte e un graos;house commands;heat;action, location
152;Configura a temperatura a dezanove graos;house commands;heat;action, location
153;Sube a calefacción a vinte e tres graos;house commands;heat;action, location
154;Pódesme baixar a calefacción un chisco?;house commands;heat;action, location
155;Baixa a calefacción a vinte graos;house commands;heat;action, location
156;Acende a calefacción a vinte e catro graos;house commands;heat;action, location
157;Podes baixar a calefacción a dezaoito graos?;house commands;heat;action, location
158;Baixa o termóstato a vinte graos;house commands;heat;action, location
159;Pon o termóstato en vinte e tres graos;house commands;heat;action, location
160;Baixa un par de graos o termóstato;house commands;heat;action, location
161;Baixa dous graos a calefacción;house commands;heat;action, location
162;Sube tres grao a calefacción;house commands;heat;action, location
163;Sube un par de graos no termóstato;house commands;heat;action, location
164;Podes subir tres graos a calefacción no cuarto das nenas?;house commands;heat;action, location
165;Quero que acendas a vinte graos o termóstato do piso;house commands;heat;location, temperature
166;Cambia a temperatura a dezanove graos;house commands;heat;temperature
167;Baixa a temperatura a quince graos;house commands;heat;action, temperature
168;Cambia a temperatura no termóstato a vinte e cinco graos;house commands;heat;action, amount
169;Sube a calefacción no salón un par de graos;house commands;heat;action, amount
170;Vai acendendo a calefacción nas habitacións a dezanove graos;house commands;heat;action, location
171;Acende a calefacción no meu piso a vinte e dous graos;house commands;heat;action, location
172;Baixa o termóstato tres graos;house commands;heat;action, location
173;Baixa a temperatura da casa aos dezaoito graos;house commands;heat;action, location
174;Sube un chisco a temperatura, un par de graos;house commands;heat;action, location
175;Sube a temperatura a vinte e catro graos Celsius;house commands;heat;action, location
176;Quero que configures o termóstato a vinte e dous graos;house commands;heat;action, location
177;Sube dous graos a temperatura na casa;house commands;heat;action, location
178;Xa podes apagar o termóstato;house commands;heat;action, location
179;Apaga o termóstato da casa;house commands;heat;action, location
180;Acende o termóstato a dezanove graos;house commands;heat;action, location
181;Programa o termóstato para que suba un par de graos a temperatura;house commands;heat;action, location
182;Sube tres graos a temperatura da casa;house commands;heat;action, location
183;Sube un grao a temperatura no termóstato;house commands;heat;action, location
184;Sube un par de graos a calefacción no aparello este;house commands;heat;action, location
185;Xa quentou ben a casa, podes baixar a calefacción;house commands;heat;action, location
186;Baixa a temperatura un pouco;house commands;heat;action, location
187;Sube un chisco a temperatura no aparatiño ese;house commands;heat;action, location
188;Configura a vinte e tres graos a temperatura na habitación;house commands;heat;action, location
189;Configura a vinte graos a temperatura na cociña;house commands;heat;action, location
190;Pon a habitación a vinte graos;house commands;heat;action, location
191;Pon o salón a vinte e un graos;house commands;heat;action, location
192;Quero que haxa vinte graos no salón;house commands;heat;action, location
193;Quere que haxa vinte e tres graos na casa;house commands;heat;action, location
194;Podes pór a casa a vinte graos?;house commands;heat;action, location
195;Baixa a temperatura da casa aos vinte e seis graos;house commands;heat;action, location
196;Teño calor, baixa a temperatura a vinte e cinco graos;house commands;heat;action, location
197;Vai acendendo a calefacción na casa para que cando chegue estea a vinte e dous graos Celsius;house commands;heat;action, location
198;Quero ter vinte e catro graos na habitación;house commands;heat;action, location
199;Quero que a habitación estea a vinte graos;house commands;heat;action, location
200;Acende a calefacción para que o salón estea a vinte e cinco graos;house commands;heat;action, location
201;Sube o volume da música, por favor;house commands;music;action, level, type
202;Sube o volume;house commands;music;action, level, type
203;Quero máis volume nesta canción;house commands;music;action, level, type
204;Sube o volume ao sesenta por cento;house commands;music;action, level, type
205;Dálle voz á música;house commands;music;action, level, type
206;Sube a tope o volume nesta canción;house commands;music;action, level, type
207;Sube a música un dez por cento;house commands;music;action, level, type
208;Súbeme un pouquiño a música;house commands;music;action, level, type
209;Dálle máis voz á radio;house commands;music;action, level, type
210;Quero que subas o volume do podcast;house commands;music;action, level, type
211;Podes subir o volume catro puntos?;house commands;music;action, level, type
212;Dálle máis voz ao programa de radio, que non escoito nada;house commands;music;action, level, type
213;Non escoito ben, podes subir o volume?;house commands;music;action, level, type
214;Sube esta canción, que me encanta;house commands;music;action, level, type
215;Faime o favor de subir o volume un pouco;house commands;music;action, level, type
216;Sube a voz un anaquiño;house commands;music;action, level, type
217;Sube o volume un chisco de nada;house commands;music;action, level, type
218;Sube un chisco o volume;house commands;music;action, level, type
219;Dálle gas nesta canción;house commands;music;action, level, type
220;Baixa un chisco o volume;house commands;music;action, level, type
221;Dálle un trisco máis de voz;house commands;music;action, level, type
222;Podes subir o volume outro anaco?;house commands;music;action, level, type
223;Sube o son ao máximo;house commands;music;action, level, type
224;Poderías subir a radio ao oitenta por cento?;house commands;music;action, level, type
225;Baixa o volume, por favor;house commands;music;action, level, type
226;Baixar volume;house commands;music;action, level, type
227;Podes baixar o volume da radio?;house commands;music;action, level, type
228;Baixa o volume á metade;house commands;music;action, level, type
229;Pon a música ao mínimo;house commands;music;action, level, type
230;Baixa un anaco a música, por favor;house commands;music;action, level, type
231;Poderías quitarlle algo de voz ao podcast?;house commands;music;action, level, type
232;Baixa un trisco o volume da música;house commands;music;action, level, type
233;Reduce o volume un vinte por cento;house commands;music;action, level, type
234;Podes baixar o volume cinco puntos?;house commands;music;action, level, type
235;Baixa o volume da música, que está moi alto;house commands;music;action, level, type
236;Baixa a música un anaquiño, que vou facer unha chamada;house commands;music;action, level, type
237;Poderías baixar o son da música?;house commands;music;action, level, type
238;Báixame un pouquiño a radio, por favor;house commands;music;action, level, type
239;Reduce o volume da música un trinta por cento;house commands;music;action, level, type
240;Podes baixarlle un pouco o volume ao reprodutor?;house commands;music;action, level, type
241;Podes baixar o volume da música ao cincuenta por cento?;house commands;music;action, level, type
242;Pon o volume da música á metade;house commands;music;action, level, type
243;Por favor, baixa a radio un corenta por cento;house commands;music;action, level, type
244;Reduce un dez por cento o volume, queres?;house commands;music;action, level, type
245;Para a música;house commands;music;action, level, type
246;Parar música;house commands;music;action, level, type
247;Quero que pares a reprodución;house commands;music;action, level, type
248;Detén a reprodución do podcast;house commands;music;action, level, type
249;Detén a música;house commands;music;action, level, type
250;Podes parar un momento a canción?;house commands;music;action, level, type
251;Podes deter un segundo a música?;house commands;music;action, level, type
252;Por favor, apaga a radio;house commands;music;action, level, type
253;Apaga a música;house commands;music;action, level, type
254;Párame aí a música, que teño unha chamada;house commands;music;action, level, type
255;Para un segundo a radio;house commands;music;action, level, type
256;Podes parar o podcast?;house commands;music;action, level, type
257;Detén o capítulo do podcast, por favor;house commands;music;action, level, type
258;Quero que deteñas a música;house commands;music;action, level, type
259;Podes parar a canción?;house commands;music;action, level, type
260;Podes deter a reprodución?;house commands;music;action, level, type
261;Apágame a radio;house commands;music;action, level, type
262;Podes apagar a música?;house commands;music;action, level, type
263;Para esta canción;house commands;music;action, level, type
264;Detén a canción que está a soar;house commands;music;action, level, type
265;Prosigue coa reprodución;house commands;music;action, level, type
266;Pon música;house commands;music;action, level, type
267;Continúa coa reprodución;house commands;music;action, level, type
268;Ponme algo de música;house commands;music;action, level, type
269;Acende a radio;house commands;music;action, level, type
270;Activa a música, por favor;house commands;music;action, level, type
271;Podes pór algo de música?;house commands;music;action, level, type
272;Continúa reproducindo o capítulo que estaba soando;house commands;music;action, level, type
273;Podes volver a acender a radio?;house commands;music;action, level, type
274;Activa a radio;house commands;music;action, level, type
275;Acende de novo a música;house commands;music;action, level, type
276;Ponme música rock, por favor;house commands;music;action, level, type
277;Podes poñer algo de música pop?;house commands;music;action, level, type
278;Quero que poñas a radio;house commands;music;action, level, type
279;Volve pór música;house commands;music;action, level, type
280;Por favor, sigue coa música;house commands;music;action, level, type
281;Pon unha radio de música clásica;house commands;music;action, level, type
282;Reproduce as cancións máis escoitadas en Galicia;house commands;music;action, level, type
283;Acende a radio e pon radio galega;house commands;music;action, level, type
284;Sigue coa reprodución;house commands;music;action, level, type
285;Cala!;house commands;music;action, level, type
286;Cala xa;house commands;music;action, level, type
287;Pecha a boca;house commands;music;action, level, type
288;Quero que cales;house commands;music;action, level, type
289;Pon o volume ao máximo;house commands;music;action, level, type
290;Non escoito nada, dálle máis volume;house commands;music;action, level, type
291;Quero escoitar algún fado;house commands;music;action, level, type
292;Pódesme pór música das Tanxugueiras?;house commands;music;action, level, type
293;Reproduce algunha canción de Fuxan os Ventos;house commands;music;action, level, type
294;Quero escoitar a Baiuca;house commands;music;action, level, type
295;Apetéceme escoitar música de Sés;house commands;music;action, level, type
296;Pon música de Ortiga;house commands;music;action, level, type
297;Podes pór o derradeiro álbum de Novedades Carminha?;house commands;music;action, level, type
298;Encántame Luz Casal, ponme algo dela;house commands;music;action, level, type
299;Reproduce algunha canción de Treixadura;house commands;music;action, level, type
300;Non me gusta esta canción;house commands;music;action, level, type
301;Que está a soar?;house commands;music;action, level, type
302;Gústame moito esta canción, como se chama?;house commands;music;action, level, type
303;Reproduce algo de Luar na Lubre;house commands;music;action, level, type
304;Gustaríame escoitar música galega;house commands;music;action, level, type
305;Apetéceme algo de Dakidarria;house commands;music;action, level, type
306;Que é isto que está a soar?;house commands;music;action, level, type
307;Pon algo de Heredeiros da Crus;house commands;music;action, level, type
308;Para;house commands;music;action, level, type
309;Segue;house commands;music;action, level, type
310;Continúa coa canción;house commands;music;action, level, type
311;Sube o volume ao máximo;house commands;music;action, level, type
312;Dálle voz nesta canción;house commands;music;action, level, type
313;Pon a CADENA SER;house commands;music;action, level, type
314;Ponme a COPE;house commands;music;action, level, type
315;Ponme na radio a COPE;house commands;music;action, level, type
316;Pódesme pór Onda Cero?;house commands;music;action, level, type
317;Sintoniza a SER;house commands;music;action, level, type
318;Quero escoitar a CADENA CEN;house commands;music;action, level, type
319;Reproduce radio nacional;house commands;music;action, level, type
320;Pon o partido do celta na radio galega;house commands;music;action, level, type
321;Quero escoitar a radio galega;house commands;music;action, level, type
322;Pon música en Rock FM;house commands;music;action, level, type
323;Sintoniza KISS FM;house commands;music;action, level, type
324;Podes pór Radio Marca?;house commands;music;action, level, type
325;Quero que poñas Radio Marca;house commands;music;action, level, type
326;Sintoniza na radio: Europa FM;house commands;music;action, level, type
327;Quero escoitar Onda Cero;house commands;music;action, level, type
328;Reproduce a SER en directo;house commands;music;action, level, type
329;Acende a radio galega;house commands;music;action, level, type
330;Ponme música na Radio Clásica;house commands;music;action, level, type
331;Ponme música alegre;house commands;music;action, level, type
332;Pon unha lista de música para facer deporte;house commands;music;action, level, type
333;Reproduce algo de música tranquila;house commands;music;action, level, type
334;Pon música para ler;house commands;music;action, level, type
335;Reproduce algo animado mentres cociño;house commands;music;action, level, type
336;Pon música de baile;house commands;music;action, level, type
337;Quero escoitar música de chuvia;house commands;music;action, level, type
338;Quero escoitar música alegre;house commands;music;action, level, type
339;Pon música para facer deporte;house commands;music;action, level, type
340;Reproduce música clásica mentres leo;house commands;music;action, level, type
341;Podes reproducir unha lista de música popular galega?;house commands;music;action, level, type
342;Pon música de verbena;house commands;music;action, level, type
343;Pon música da orquestra Panorama;house commands;music;action, level, type
344;Ponme unha lista de música da orquestra Panorama;house commands;music;action, level, type
345;Quero escoitar a París de Noia;house commands;music;action, level, type
346;Pon música de orquestra;house commands;music;action, level, type
347;Pon a canción Mentirosa de Ráfaga;house commands;music;action, level, type
348;Pon unha lista de cumbia;house commands;music;action, level, type
349;Queremos escoitar música de orquestra;house commands;music;action, level, type
350;Reproduce Terra das Tanxugueiras;house commands;music;action, level, type
351;Pon a todo volume a canción Dolores se llamaba Lola dos Suaves;house commands;music;action, level, type
352;Pon música de Triángulo de Amor Bizarro;house commands;music;action, level, type
353;Podes pór unha lista das cancións do Xabarín Club?;house commands;music;action, level, type
354;Pon a canción Galicia caníbal dos Resentidos;house commands;music;action, level, type
355;Quero escoitar a Carolina Rubirosa;house commands;music;action, level, type
356;Ponme cancións de Luar na Lubre en aleatorio;house commands;music;action, level, type
357;Faime o favor de pór Fisterra de Baiuca;house commands;music;action, level, type
358;Pon o último álbum de Carlangas;house commands;music;action, level, type
359;Pon Eu chorar Chorei de Ortiga;house commands;music;action, level, type
360;Queremos escoitar algo de Verto;house commands;music;action, level, type
361;Pon aí o himno galego;house commands;music;action, level, type
362;Quero escoitar a canción Negra Sombra;house commands;music;action, level, type
363;Ponnos aí o último álbum das Tanxugueiras;house commands;music;action, level, type
364;Ponme a última canción de Carolina Rubirosa;house commands;music;action, level, type
365;Pon o último disco de Ortiga;house commands;music;action, level, type
366;Que soe algo de música relaxante;house commands;music;action, level, type
367;Pon Turnedo de Ivan Ferreiro;house commands;music;action, level, type
368;Pon unha lista de música galega;house commands;music;action, level, type
369;Pon algo de música galega;house commands;music;action, level, type
370;Quero escoitar folk galego;house commands;music;action, level, type
371;Quero escoitar último disco de Ses;house commands;music;action, level, type
372;Quero que poñas a canción Cedeira;house commands;music;action, level, type
373;Quero que poñas Matriarcas de Guadi Galego;house commands;music;action, level, type
374;Máis volume;house commands;music;action, level, type
375;Menos volume;house commands;music;action, level, type
376;Reproduce o himno do Celta;house commands;music;action, level, type
377;Pon Xirarei de Xil Ríos;house commands;music;action, level, type
378;Pon música de romaría;house commands;music;action, level, type
379;Quero escoitar música de festa;house commands;music;action, level, type
380;Ponme algo de música para pegarlle uns bailes;house commands;music;action, level, type
381;Pon música de días chuviosos;house commands;music;action, level, type
382;Ponme algo de Siniestro total;house commands;music;action, level, type
383;Reproduce unha mestura de artistas galegos;house commands;music;action, level, type
384;Ponme aí o mellor de Juan Pardo;house commands;music;action, level, type
385;Podes pór o himno galego?;house commands;music;action, level, type
386;Baixa o volume da música;house commands;music;action, level, type
387;Pon música de Xoel López;house commands;music;action, level, type
388;Pon algo de Sen Senra;house commands;music;action, level, type
389;Reproduce o último lanzamento de Susana Seivane;house commands;music;action, level, type
390;Quero escoitar música de Kepa Junquera;house commands;music;action, level, type
391;Pon música de Carlos Núñez;house commands;music;action, level, type
392;Reproduce Eu Queríame Casare de Ana Kiro;house commands;music;action, level, type
393;Pon Carta Aberta de Antía Muíño;house commands;music;action, level, type
394;Quero escoitar o último disco de Antía Muíño;house commands;music;action, level, type
395;Pon aí algún tema de Mercedes Peón;house commands;music;action, level, type
396;Pon música de festa;house commands;music;action, level, type
397;Pon unha mestura de música galega;house commands;music;action, level, type
398;Pon a última canción de Catuxa Salom;house commands;music;action, level, type
399;Pon música da Panorama;house commands;music;action, level, type
400;Pon música da París de Noia;house commands;music;action, level, type
401;Pon música dos Rolling;house commands;music;action, level, type
402;Ponme aos Beatles en aleatorio;house commands;music;action, level, type
403;Quero escoitar música de Beethoven;house commands;music;action, level, type
404;Reproduce A Frauta Máxica de Mozart;house commands;music;action, level, type
405;Ponme o último álbum da Rosalía;house commands;music;action, level, type
406;Pon Muinheira De Interior de Boyanka Kostova;house commands;music;action, level, type
407;Reproduce o disco Os Dous De Sempre de Boyanka Kostova;house commands;music;action, level, type
408;Quero escoitar a Serrat en aleatorio;house commands;music;action, level, type
409;Reproduce unha lista de música reggae;house commands;music;action, level, type
410;Pon música dos oitenta;house commands;music;action, level, type
411;Reproduce unha lista de música dos sesenta;house commands;music;action, level, type
412;Reproduce algún álbum recompilación dos Piratas;house commands;music;action, level, type
413;Pon a canción Años Ochenta dos Piratas;house commands;music;action, level, type
414;Quero escoitar o álbum Lume de Bala;house commands;music;action, level, type
415;Reproduce Verto en aleatorio;house commands;music;action, level, type
416;Ponnos aí a canción Non Temos Medo de Ruxe Ruxe;house commands;music;action, level, type
417;Que soe o primeiro álbum de Bob Dylan;house commands;music;action, level, type
418;Baixa o volume un quince por cento;house commands;music;action, level, type
419;Baixa o volume un corenta por cento;house commands;music;action, level, type
420;Sube o volume ao oitenta por cento;house commands;music;action, level, type
421;Sube o volume cinco puntos;house commands;music;action, level, type
422;Dálle un pouquiño máis de voz á radio;house commands;music;action, level, type
423;Quítalle un anaco de volume ao altofalante;house commands;music;action, level, type
424;Reproduce aos Rolling Stones;house commands;music;action, level, type
425;Quero escoitar grandes éxitos de David Bowie;house commands;music;action, level, type
426;Podes pór algo de Pink Floyd?;house commands;music;action, level, type
427;Pon os grandes éxitos de Siniestro Total;house commands;music;action, level, type
428;Acende a radio coa cadena SER;house commands;music;action, level, type
429;Pon música animada;house commands;music;action, level, type
430;Podes pór música de concentración?;house commands;music;action, level, type
431;Quero escoitar cancións de Carolina Rubirosa;house commands;music;action, level, type
432;Como soan Dios ke te crew?;house commands;music;action, level, type
433;Reproduce aos Resentidos;house commands;music;action, level, type
434;Quero escoitar música de Heredeiros da Crus;house commands;music;action, level, type
435;Reproduce á Banda da Loba;house commands;music;action, level, type
436;Quero escoitar música de Grande Amore;house commands;music;action, level, type
437;Ponme algo de Grande Amore;house commands;music;action, level, type
438;Pon o último disco de Grande Amore;house commands;music;action, level, type
439;Como soa Chicharrón?;house commands;music;action, level, type
440;Reproduce algunha canción de Chicharrón;house commands;music;action, level, type
441;Pon música de Baiuca;house commands;music;action, level, type
442;Quero escoitar a Terbutalina;house commands;music;action, level, type
443;Queremos escoitar a Lisdexia;house commands;music;action, level, type
444;Pon algunha canción de Moura;house commands;music;action, level, type
445;Pon algo variado de Ortiga;house commands;music;action, level, type
446;Podes pór o último disco de Terbutalina?;house commands;music;action, level, type
447;Quero escoitar a Bob Marley;house commands;music;action, level, type
448;Pon un variado de música reggae;house commands;music;action, level, type
449;Pon música rock dos sesenta;house commands;music;action, level, type
450;Reproduce música pop dos noventa;house commands;music;action, level, type
451;Pon unha canción de Dalsi;house commands;music;action, level, type
452;Reproduce a lista de música do Radar;house commands;music;action, level, type
453;Pósme un variado de música rap?;house commands;music;action, level, type
454;Reproduce música de Zeltia Irevire;house commands;music;action, level, type
455;Quero escoitar o disco Colaxe;house commands;music;action, level, type
456;Quero escoitar os Smiths;house commands;music;action, level, type
457;Ponme música dos Smiths;house commands;music;action, level, type
458;Pon algo de Oasis;house commands;music;action, level, type
459;Reproduce a Blur;house commands;music;action, level, type
460;Pon o primeiro álbum de Patti Smith;house commands;music;action, level, type
461;Ponme algo de música para estudar;house commands;music;action, level, type
462;Quero escoitar os éxitos galegos deste ano;house commands;music;action, level, type
463;Pódesme poñer algunha lista de música pop?;house commands;music;action, level, type
464;Pon algo de música para durmir;house commands;music;action, level, type
465;Ponme música relaxada;house commands;music;action, level, type
466;Non me gusta esta canción, pasa á seguinte;house commands;music;action, level, type
467;Podes volver reproducir a anterior canción?;house commands;music;action, level, type
468;Pasa de canción;house commands;music;action, level, type
469;Seguinte canción;house commands;music;action, level, type
470;Pasa esta canción;house commands;music;action, level, type
471;Reproduce esta canción desde o comezo;house commands;music;action, level, type
472;Volve ao principio desta canción;house commands;music;action, level, type
473;Dálle para atrás á canción;house commands;music;action, level, type
474;Seguinte tema;house commands;music;action, level, type
475;Pasa á seguinte canción;house commands;music;action, level, type
476;Que pases de canción;house commands;music;action, level, type
477;Que poñas a seguinte canción;house commands;music;action, level, type
478;Volve a pór esta canción desde o comezo;house commands;music;action, level, type
479;Pon a canción desde o comezo;house commands;music;action, level, type
480;Pon esta canción desde o inicio;house commands;music;action, level, type
481;Reproduce algunha panxoliña;house commands;music;action, level, type
482;Pon unha lista de panxoliñas;house commands;music;action, level, type
483;Quero escoitar algunha panxoliña en galego;house commands;music;action, level, type
484;Reproduce algún vilancico;house commands;music;action, level, type
485;Pon unha lista de nadaliñas;house commands;music;action, level, type
486;Ponme o último vídeo de 'Dígocho Eu';house commands;music;action, level, type
487;Subiu algún vídeo novo Esther de 'Dígocho Eu'?;house commands;music;action, level, type
488;Ponme un disco de grandes éxitos de Queen;house commands;music;action, level, type
489;Quero escoitar a Antía Muíño;house commands;music;action, level, type
